time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.75066317159e-07,4.32594805068e-08,10.0034047539,5.12557588532e-05,0.000333780154504,0.0,-3.17718391356e-05,4.16209897209e-06,0.113486504828,0.00251041071457,0.0148514369195,0.0,441.1367023012477,442.3610592238439,440.4627275355232,440.67023570064794
0.12000000000000001,-1.52373241989e-05,2.1725721873e-06,10.0168778482,6.28303893636,0.00177997246067,0.0,-0.000609374726108,6.84616865696e-05,0.335577052552,-0.0186256727273,0.0381007092274,0.0,472.5490805248483,474.33760484794783,475.5410871021648,473.919625387798
0.18,-0.00010349151056,-1.95670345296e-06,10.0425912801,6.28188724504,0.00445132636212,0.0,-0.00261938995794,-0.000336224845466,0.521469600806,-0.0203581446424,0.0549867932821,0.0,463.17828675074634,464.5051908257772,463.22235971233806,463.08618433840195
0.23999999999999996,-0.000364641597834,-5.34193942548e-05,10.0767564853,6.28067989293,0.00734313252496,0.0,-0.00640494845149,-0.00150225254056,0.617321174012,-0.0196554725436,0.028990632436,0.0,437.1214607361503,434.95142413995853,435.7038643139285,435.7626149677482
0.3,-0.000926638530924,-0.000205546894423,10.1191106991,6.27994150086,0.0100526417562,0.0,-0.0125927315158,-0.00367369799339,0.794376797174,-0.000626480749877,0.0660453351294,0.0,458.9348787529383,461.8671590004298,461.10020678982863,462.6009260132069
0.36000000000000004,-0.00191717421385,-0.000496601853547,10.170835937,6.27987226356,0.0145342251008,0.0,-0.0208810934413,-0.00603349480566,0.929691766966,-0.00223043079292,0.0879733207486,0.0,447.98780787727253,449.7712013849639,448.46730639251047,448.3370494199147
0.4200000000000001,-0.00349508715728,-0.000928610325358,10.2299178323,6.27967659464,0.0196768976446,0.0,-0.0322541393941,-0.00838340515654,1.03960181673,-0.00540679372595,0.0807561533791,0.0,441.2537741472568,440.6637458926003,441.0757378359062,440.81343268246127
0.48000000000000015,-0.0059210799044,-0.00151684543806,10.2984884042,6.27914303943,0.0244267920405,0.0,-0.0491732199889,-0.0112728545001,1.24586937105,-0.0169805424588,0.0757779108807,0.0,470.7530575574435,470.37236359071477,470.9925036386839,470.0967569795998
0.5400000000000001,-0.00937328705892,-0.00227718897547,10.3754227754,6.27808263049,0.0293061478047,0.0,-0.0663617937806,-0.0141733278404,1.31851527523,-0.0190965801898,0.0905799243893,0.0,429.8672804217553,431.1251413715084,429.14106754528353,428.96149021689627
0.6000000000000002,-0.0140512764851,-0.00324517698957,10.4598344767,6.27906947702,0.0348388759679,0.0,-0.0901863671654,-0.0180570515797,1.49497372261,0.0489495094568,0.0952894480219,0.0,462.4871940675505,462.8647301857305,459.3269562090521,464.69149166538534
0.6600000000000003,-0.0203283287385,-0.00441477797596,10.5559855526,6.28165229533,0.0404595308587,0.0,-0.119712926284,-0.0205955635151,1.70974053901,0.0273625522315,0.0902442110894,0.0,474.12045050797343,473.73952537646863,475.3538112332538,473.697699283166
0.7200000000000003,-0.0282238684959,-0.00567171094753,10.6580888321,6.28310367125,0.0454521457771,0.0,-0.143919672986,-0.0211702770461,1.69370543419,0.0169391842911,0.0629423077086,0.0,402.8612639183826,400.391346685649,402.0092976515288,401.0639105947967
0.7800000000000004,-0.0377984447954,-0.00693978325393,10.7623818944,0.000931910315489,0.0495380738321,0.0,-0.175623212775,-0.0209969886464,1.78257409777,0.0167987851289,0.0768054951985,0.0,435.5272873230816,436.68868964400076,436.7614561803796,436.74967092791667
0.8400000000000004,-0.0494013920819,-0.00817608988506,10.8728012096,0.00169239315486,0.0539787786282,0.0,-0.211605407464,-0.0201195946508,1.89785727013,0.00279173855799,0.0677433049299,0.0,445.28335262106515,444.5456923077483,445.9073348200097,444.7615802261947
0.9000000000000005,-0.0632395810154,-0.0093474719267,10.9898490973,0.001616998824,0.0578183673982,0.0,-0.250066358877,-0.0189204702828,2.00353230741,-0.0109207604107,0.0551818928103,0.0,443.4136407261451,442.3835438770311,442.8003536918344,441.67095705117924
0.9600000000000005,-0.0793477372207,-0.0104544473402,11.1112649938,0.00103880051825,0.0611320698319,0.0,-0.28717777307,-0.0180361525569,2.04357027319,-0.00718470458913,0.0553211371299,0.0,421.61115194999303,421.6254153500432,421.9199796429002,422.24251291019556
1.0200000000000005,-0.0979500187047,-0.0115154690262,11.2383826596,0.000449310445633,0.0647527734508,0.0,-0.333263904148,-0.0173866500749,2.19337889771,-0.015710927091,0.0688611716306,0.0,456.35953105031496,457.44139733673967,457.2343989069051,456.55478776787294
1.0800000000000005,-0.119325818863,-0.0125526409781,11.3733373883,6.28294460768,0.0686340805564,0.0,-0.379667404045,-0.0172692982795,2.30485773814,-0.00418567352544,0.0546690812836,0.0,447.0574849557911,445.9026536979919,444.46533940375593,445.4089797374627
1.1400000000000006,-0.14373810556,-0.0135949699224,11.5174778696,6.28313282178,0.0717266000382,0.0,-0.434420214531,-0.0174750666057,2.49938323318,0.0147841059501,0.0444138614109,0.0,472.37604344396203,471.5861146405864,470.32212589428565,471.788972206431
1.2000000000000006,-0.171272734453,-0.0146412774207,11.6700564155,0.000747898858616,0.0743085738186,0.0,-0.483652488153,-0.0173173053855,2.58634569681,0.010282186529,0.0401180145847,0.0,439.8046781931039,439.4497821732255,439.49520933498354,439.1218110153983
